country,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,liveness,is_explicit,mode,cluster,cluster_name
AE,0.645,0.646,0.532,123.787,0.202,0.067,0.014,0.156,0.337,0.654,1,Pop Mainstream
AR,0.689,0.663,0.649,120.234,0.26,0.091,0.037,0.19,0.328,0.473,0,High Energy Pop
AT,0.673,0.679,0.578,124.288,0.2,0.091,0.02,0.165,0.331,0.616,0,High Energy Pop
AU,0.65,0.643,0.549,120.493,0.224,0.066,0.008,0.152,0.372,0.759,1,Pop Mainstream
BE,0.654,0.646,0.54,125.09,0.249,0.08,0.038,0.152,0.27,0.587,1,Pop Mainstream
BG,0.705,0.8,0.675,133.109,0.102,0.102,0.009,0.163,0.193,0.395,0,High Energy Pop
BO,0.707,0.675,0.591,119.97,0.28,0.101,0.052,0.161,0.456,0.521,2,Latin Groove
BR,0.689,0.704,0.662,127.036,0.41,0.145,0.003,0.331,0.238,0.455,4,Brazilian Beat
BY,0.686,0.66,0.549,114.909,0.171,0.098,0.063,0.189,0.436,0.438,2,Latin Groove
CA,0.642,0.631,0.535,118.486,0.244,0.07,0.006,0.163,0.436,0.751,1,Pop Mainstream
CH,0.646,0.631,0.53,123.027,0.253,0.075,0.039,0.154,0.326,0.556,1,Pop Mainstream
CL,0.733,0.645,0.608,107.793,0.226,0.094,0.049,0.156,0.715,0.324,2,Latin Groove
CO,0.753,0.677,0.57,115.12,0.238,0.129,0.03,0.145,0.562,0.46,2,Latin Groove
CR,0.726,0.663,0.543,116.946,0.29,0.122,0.048,0.157,0.494,0.483,2,Latin Groove
CZ,0.69,0.659,0.517,124.566,0.213,0.137,0.03,0.173,0.527,0.522,2,Latin Groove
DE,0.698,0.673,0.563,124.315,0.18,0.111,0.018,0.162,0.397,0.548,0,High Energy Pop
DK,0.693,0.672,0.555,116.554,0.173,0.128,0.003,0.194,0.386,0.412,2,Latin Groove
DO,0.71,0.651,0.564,118.73,0.253,0.181,0.066,0.178,0.562,0.523,2,Latin Groove
EC,0.748,0.67,0.561,114.548,0.247,0.121,0.054,0.144,0.531,0.462,2,Latin Groove
EE,0.662,0.719,0.551,130.331,0.147,0.083,0.026,0.191,0.299,0.519,0,High Energy Pop
EG,0.737,0.729,0.663,118.188,0.353,0.091,0.004,0.185,0.101,0.366,0,High Energy Pop
ES,0.716,0.667,0.561,114.973,0.304,0.113,0.039,0.167,0.405,0.442,2,Latin Groove
FI,0.678,0.719,0.571,126.662,0.18,0.067,0.02,0.176,0.242,0.376,0,High Energy Pop
FR,0.726,0.629,0.622,119.199,0.28,0.147,0.006,0.149,0.528,0.278,2,Latin Groove
GB,0.654,0.638,0.588,118.757,0.25,0.061,0.011,0.164,0.338,0.784,1,Pop Mainstream
GR,0.716,0.698,0.53,117.498,0.281,0.147,0.017,0.177,0.75,0.36,2,Latin Groove
GT,0.74,0.699,0.621,119.651,0.3,0.076,0.025,0.158,0.534,0.486,2,Latin Groove
HK,0.618,0.631,0.512,132.394,0.359,0.077,0.001,0.166,0.053,0.748,1,Pop Mainstream
HN,0.714,0.675,0.55,116.138,0.276,0.099,0.064,0.159,0.489,0.461,2,Latin Groove
HU,0.749,0.697,0.589,114.246,0.199,0.123,0.019,0.156,0.498,0.436,2,Latin Groove
ID,0.532,0.495,0.368,120.205,0.523,0.038,0.044,0.152,0.011,0.873,3,Asian Acoustic
IE,0.625,0.624,0.561,118.697,0.293,0.054,0.008,0.155,0.303,0.813,1,Pop Mainstream
IL,0.639,0.547,0.48,123.808,0.46,0.08,0.01,0.172,0.035,0.263,3,Asian Acoustic
IN,0.581,0.547,0.479,106.758,0.532,0.06,0.003,0.156,0.025,0.613,3,Asian Acoustic
IS,0.7,0.581,0.539,123.706,0.258,0.071,0.015,0.15,0.196,0.607,1,Pop Mainstream
IT,0.676,0.674,0.49,118.48,0.232,0.119,0.008,0.171,0.528,0.524,2,Latin Groove
JP,0.619,0.781,0.685,129.139,0.101,0.092,0.002,0.17,0.017,0.646,0,High Energy Pop
KR,0.674,0.725,0.603,117.563,0.167,0.06,0.008,0.181,0.167,0.618,0,High Energy Pop
KZ,0.699,0.627,0.56,112.762,0.285,0.091,0.049,0.159,0.143,0.31,2,Latin Groove
LT,0.702,0.66,0.6,124.317,0.238,0.062,0.032,0.154,0.193,0.531,0,High Energy Pop
LU,0.662,0.624,0.556,122.96,0.249,0.088,0.036,0.152,0.325,0.518,1,Pop Mainstream
LV,0.667,0.67,0.547,124.03,0.184,0.075,0.021,0.182,0.369,0.545,0,High Energy Pop
MA,0.668,0.614,0.538,121.251,0.366,0.152,0.004,0.148,0.458,0.229,2,Latin Groove
MX,0.74,0.707,0.662,120.04,0.307,0.065,0.013,0.166,0.636,0.433,0,High Energy Pop
MY,0.613,0.572,0.461,122.801,0.364,0.053,0.018,0.147,0.162,0.715,3,Asian Acoustic
NG,0.73,0.682,0.639,110.108,0.298,0.128,0.025,0.157,0.267,0.498,2,Latin Groove
NI,0.722,0.677,0.596,117.408,0.262,0.091,0.051,0.158,0.43,0.422,2,Latin Groove
NL,0.662,0.69,0.579,124.559,0.228,0.072,0.016,0.15,0.184,0.608,0,High Energy Pop
NO,0.632,0.64,0.549,119.757,0.257,0.079,0.011,0.179,0.364,0.596,1,Pop Mainstream
NZ,0.658,0.63,0.547,124.074,0.218,0.069,0.007,0.162,0.321,0.682,1,Pop Mainstream
PA,0.715,0.661,0.529,113.806,0.286,0.159,0.047,0.16,0.447,0.491,2,Latin Groove
PE,0.724,0.653,0.556,114.149,0.263,0.109,0.063,0.15,0.467,0.46,2,Latin Groove
PH,0.645,0.57,0.55,123.878,0.323,0.073,0.009,0.164,0.161,0.741,1,Pop Mainstream
PK,0.636,0.528,0.458,109.975,0.472,0.084,0.016,0.169,0.052,0.379,3,Asian Acoustic
PL,0.664,0.683,0.505,124.662,0.213,0.127,0.005,0.198,0.477,0.433,2,Latin Groove
PT,0.688,0.599,0.553,116.935,0.414,0.144,0.027,0.157,0.27,0.419,2,Latin Groove
PY,0.703,0.679,0.59,121.383,0.284,0.102,0.029,0.162,0.425,0.52,2,Latin Groove
RO,0.75,0.744,0.67,129.389,0.183,0.091,0.015,0.179,0.243,0.424,0,High Energy Pop
SA,0.631,0.626,0.521,119.283,0.267,0.067,0.052,0.174,0.245,0.541,1,Pop Mainstream
SE,0.65,0.625,0.547,117.952,0.302,0.097,0.02,0.168,0.334,0.656,1,Pop Mainstream
SG,0.662,0.658,0.584,124.197,0.224,0.06,0.006,0.149,0.247,0.652,1,Pop Mainstream
SK,0.714,0.689,0.501,123.929,0.189,0.141,0.027,0.182,0.644,0.563,2,Latin Groove
SV,0.717,0.665,0.531,114.1,0.272,0.104,0.086,0.153,0.556,0.426,2,Latin Groove
TH,0.64,0.676,0.558,114.8,0.216,0.07,0.003,0.183,0.139,0.658,1,Pop Mainstream
TR,0.663,0.63,0.552,111.883,0.296,0.107,0.004,0.205,0.2,0.322,2,Latin Groove
TW,0.634,0.624,0.516,119.418,0.287,0.06,0.001,0.163,0.095,0.706,1,Pop Mainstream
UA,0.707,0.666,0.519,118.148,0.233,0.093,0.063,0.164,0.25,0.411,2,Latin Groove
US,0.653,0.611,0.513,119.489,0.245,0.081,0.016,0.172,0.446,0.728,1,Pop Mainstream
UY,0.709,0.673,0.67,116.815,0.257,0.093,0.023,0.179,0.307,0.488,0,High Energy Pop
VE,0.738,0.689,0.531,114.472,0.262,0.124,0.039,0.167,0.461,0.417,2,Latin Groove
VN,0.692,0.628,0.585,117.821,0.371,0.075,0.004,0.161,0.224,0.707,1,Pop Mainstream
ZA,0.746,0.628,0.555,118.649,0.13,0.07,0.078,0.125,0.123,0.488,2,Latin Groove
